Place,Car Num,Team,Penalty,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Total Score,Adjusted Cost,Average Adjusted Laptime,Fuel Efficiency Factor,Best Time,Best Autocross Time,Endurance Time,Endurance Penalty,Adjusted Endurance Time,Endurance Time Score,Endurance Laps,Endurance Laps Score,Best Skidpad Time,Engine Cylinders,Engine Displacement (cc),Weight (kg)
<=100,116.0,Saginaw Valley State Univ_2024,,47.9,25.8,50.0,,>=40,<50,<25,,177,17437.0,,,,100.211,444.301,,,-,2.0,4.0,5.658,4.0,600.0,201.4
<=75,122.0,South Dakota School of Mines & Tech_2024,,40.6,52.4,65.0,,,>=60,,,227.5,19472.0,,,,54.879,,,,,,,,4.0,600.0,221.4
<=100,93.0,South Dakota State Univ_2024,,39.1,20.0,75.0,<50,>=15,<50,>=10,,206.8,16565.0,,,5.445,68.467,935.217,,,-,5.0,12.0,6.105,4.0,600.0,201.8
<=75,89.0,Southern Illinois Univ - Carbondale_2024,,33.7,28.9,60.0,>=50,>=40,<50,<25,,236.8,24836.0,,,5.044,83.871,567.652,,,-,3.0,6.0,5.553,4.0,600.0,235.0
>100,128.0,St Cloud State Univ_2024,,9.3,10.0,40.0,,,,,,59.3,22243.0,,,,,,,,,,,,4.0,600.0,237.2
<=100,58.0,Syracuse Univ_2024,-10.0,18.0,41.9,40.0,,>=15,<50,>=25,,141.2,31214.0,206.621,,,121.043,2024.21,,2066.21,-,10.0,25.0,6.095,4.0,600.0,270.3
<=25,109.0,Temple Univ_2024,,65.5,45.2,120.0,>=60,>=40,>=70,>=150,52.0,636.2,17685.0,161.573,0.538,4.714,54.586,1601.732,,1615.732,140.4,10.0,25.0,5.579,4.0,600.0,187.8
<=100,15.0,Tennessee Tech Univ_2024,,67.0,32.3,40.0,<50,<15,<50,,,197,9313.0,,,5.145,74.464,,,,,,,6.988,2.0,625.0,170.6
<=5,35.0,Texas A & M Univ - College Station_2024,,84.9,42.4,100.0,>90,>=60,>=60,>=200,44.3,746.4,16680.0,145.697,0.499,4.206,55.968,1456.973,,1456.973,216.2,10.0,25.0,5.243,4.0,600.0,200.5
<=75,90.0,Texas Tech Univ_2024,,88.9,31.5,80.0,,<15,<50,,,210.3,14531.0,,,,84.948,,,,,,,6.798,1.0,450.0,187.8
1,3.0,The Ohio State University_2024,,80.1,73.6,144.0,>90,>=60,>100,>250,51.3,907.6,23089.0,139.589,0.535,4.271,46.911,1389.891,,1395.891,250,10.0,25.0,5.346,4.0,600.0,201.4
>100,88.0,UP Aguascalientes_2024,,-3.1,40.9,,,,,,,37.8,15219.0,,,,,,,,,,,,4.0,600.0,
<=75,113.0,US Air Force Academy_2024,,45.1,26.9,15.0,<50,>=15,<50,>=25,84.4,245.4,17261.0,198.295,0.704,6.808,67.265,1850.95,,1982.95,11.5,10.0,25.0,6.018,1.0,450.0,201.4
<=50,86.0,Univ of Akron_2024,,76.9,27.0,100.0,>=70,>=60,>=80,,,428.3,20001.0,,,4.663,51.715,0.0,,,-,0.0,0.0,5.345,1.0,450.0,181.4
<=25,76.0,Univ of Alabama - Tuscaloosa_2024,,73.2,41.6,100.0,>90,>=50,>=80,>=150,38.0,658.2,28134.0,161.557,0.467,4.277,52.020,1459.573,120.0,1615.573,140.5,10.0,25.0,5.428,4.0,600.0,219.5
<=75,84.0,Univ of British Columbia_2024,,68.6,44.6,125.0,,,,,,238.2,25300.0,,,,,0.0,,,-,0.0,0.0,,4.0,600.0,202.8
<=5,30.0,Univ of Calif - Berkeley_2024,,68.3,40.1,120.0,>=50,>=50,>100,>250,96.1,813.8,20048.0,141.824,0.764,4.992,48.418,1396.241,,1418.241,237.3,10.0,25.0,5.403,1.0,450.0,168.3
<=100,48.0,Univ of Central Florida_2024,,67.8,45.4,80.0,,,,,,193.2,24810.0,,,,,,,,,,,,4.0,635.0,194.6
